index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://5.imimg.com/data5/WA_9696/Default/2026/2/584753891/HF/WU/BB/137362193/image-1000x1000.jpeg,https://www.indiamart.com/proddetail/pro-p-zole-propiconazole-25-ec-fungicides-2858858573962.html?srsltid=AfmBOoo6xETofJkWAUt0PDaPqhArZMNAZCcrCxLfP90GC63VZtjAb8Oa
1,Apple___Black_rot,Magic FungiX For Fungal disease,http://5.imimg.com/data5/ANDROID/Default/2025/9/548225328/BO/DC/KK/129443402/product-jpeg-500x500.jpeg,https://dir.indiamart.com/search.mp?ss=Magic+FungiX+For+Fungal+disease&prdsrc=1&v=4&mcatid=&catid=&crs=city-landing&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:5|lcf:3|cq:pune|qr_nm:gl-splt-gd|cs:19606|com-cf:nl|ptrs:na|mc:153488|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,http://5.imimg.com/data5/SELLER/Default/2024/9/449481807/AN/HY/LQ/129443402/zero-fight-agro-tech-kito-fight-1000x1000.jpg,https://dir.indiamart.com/search.mp?ss=All+in+1+Organic+Fungicide&prdsrc=1&v=4&mcatid=&catid=&crs=city-landing&trc=xim&cq=Pune&tags=res:RC2|ktp:N0|mtp:S|wc:5|lcf:3|cq:pune|qr_nm:gl-gd|cs:17348|com-cf:nl|ptrs:na|mc:153488|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:1
3,Apple___healthy,Tapti Booster Organic Fertilizer,http://5.imimg.com/data5/IOS/Default/2025/6/520529389/BU/OW/WK/129443402/product-jpeg-500x500.jpeg,https://dir.indiamart.com/search.mp?ss=All+in+1+Organic+Fungicide&prdsrc=1&v=4&mcatid=&catid=&crs=city-landing&trc=xim&cq=Pune&tags=res:RC2|ktp:N0|mtp:S|wc:5|lcf:3|cq:pune|qr_nm:gl-gd|cs:17348|com-cf:nl|ptrs:na|mc:153488|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:1
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,image.png,https://www.indiamart.com/proddetail/black-granule-fertilizer-25932636497.html?pos=1&kwd=greenstix%20fertilizer&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:localhgmct|prv:10|ri:T_A_0_P|em:0-|-res:RC1-R5|ktp:N0|mtp:SP|wc:2|lcf:3|cq:pune|qr_nm:localhgmct-gl-gd|cs:19217|com-cf:nl|ptrs:na|mc:121040|cat:99|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:0|v=4|r=4
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://5.imimg.com/data5/SELLER/Default/2022/4/AF/OM/CK/92933637/tbl-250x250.jpg,https://www.indiamart.com/proddetail/tb-40-neutralizing-fluid-25488167391.html?pos=2&kwd=rom%20mildew%20clean&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:localhgmct|prv:2000|ri:T_B_0_P|em:0-|-res:RC1-R6|ktp:N0|mtp:S|wc:3|lcf:3|cq:pune|qr_nm:localhgmct-gl-gd|cs:18207|com-cf:nl|ptrs:na|mc:24206|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0|v=4|r=4
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,image.png,https://www.indiamart.com/proddetail/agrich-organomineral-liquid-plant-food-2851754654473.html?pos=1&kwd=plantic%20organic%20bloomdrop%20liquid%20plant%20food&tags=rk:B||dt:164|db:04|prc:1|dtp:p||sv:T|rsf:gd|prv:1222|ri:T_B_250_NP|em:0-|-res:RC5|ktp:N0|stype:attr=1|mtp:G|wc:6|lcf:3|cq:pune|qr_nm:gl-splt-gd|cs:21387|com-cf:nl|ptrs:na|mc:530|cat:99|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:0|v=4|crs=city-landing
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,image.png,https://www.indiamart.com/proddetail/antracol-500gm-2852845832988.html?pos=1&kwd=antracol%20fungicide&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:600|ri:T_T_0_P|em:1-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17398|com-cf:nl|ptrs:na|mc:1451|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:9|v=4|r=3
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://5.imimg.com/data5/SELLER/Default/2024/9/448536409/IQ/VX/OE/129443402/save-20240828-140653-1000x1000.jpg,https://www.indiamart.com/proddetail/carbendazim-12-mancozeb-63-wp-2854794971033.html?pos=1&kwd=3%20star%20m45%20mancozeb%2075%20wp%20contact%20fungicide&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:400|ri:T_B_0_P|em:0-|-res:RC2|ktp:N0|stype:attr=1-br|mtp:S|wc:8|lcf:3|cq:pune|qr_nm:gl-gd|cs:20539|com-cf:nl|ptrs:na|mc:208662|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:hs|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0|v=4|crs=city-landing|r=4
